127.0.0.1 - - [27/Jul/2018:16:07:43 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:07:46 -0300] "GET /GDist/ HTTP/1.1" 200 5949
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:07:46 -0300] "GET /GDist/assets/global/plugins/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 26711
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:07:46 -0300] "GET /GDist/assets/global/plugins/bootstrap-switch/css/bootstrap-switch.min.css HTTP/1.1" 200 6457
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:07:46 -0300] "GET /GDist/assets/global/plugins/simple-line-icons/simple-line-icons.min.css HTTP/1.1" 200 9562
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:07:46 -0300] "GET /GDist/assets/global/plugins/select2/css/select2.min.css HTTP/1.1" 200 15196
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:07:46 -0300] "GET /GDist/assets/global/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 117914
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:07:46 -0300] "GET /GDist/assets/global/css/plugins.min.css HTTP/1.1" 200 42166
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:07:46 -0300] "GET /GDist/assets/global/plugins/select2/css/select2-bootstrap.min.css HTTP/1.1" 200 15551
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:07:46 -0300] "GET /GDist/assets/global/css/components.min.css HTTP/1.1" 200 616289
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:07:46 -0300] "GET /GDist/assets/pages/css/login.min.css HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:07:46 -0300] "GET /GDist/assets/global/plugins/jquery.min.js HTTP/1.1" 200 97166
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:07:46 -0300] "GET /GDist/assets/global/plugins/js.cookie.min.js HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:07:46 -0300] "GET /GDist/assets/global/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:07:46 -0300] "GET /GDist/assets/global/plugins/jquery-slimscroll/jquery.slimscroll.min.js HTTP/1.1" 200 5175
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:07:46 -0300] "GET /GDist/assets/global/plugins/jquery.blockui.min.js HTTP/1.1" 200 9569
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:07:46 -0300] "GET /GDist/assets/global/plugins/bootstrap-switch/js/bootstrap-switch.min.js HTTP/1.1" 200 14903
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:07:46 -0300] "GET /GDist/assets/global/plugins/jquery-validation/js/jquery.validate.min.js HTTP/1.1" 200 21082
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:07:46 -0300] "GET /GDist/assets/global/plugins/jquery-validation/js/additional-methods.min.js HTTP/1.1" 200 17210
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:07:46 -0300] "GET /GDist/assets/global/plugins/select2/js/select2.full.min.js HTTP/1.1" 200 75005
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:07:46 -0300] "GET /GDist/assets/global/scripts/app.min.js HTTP/1.1" 200 15509
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:07:46 -0300] "GET /GDist/assets/pages/scripts/login.min.js HTTP/1.1" 200 3356
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:07:46 -0300] "GET /GDist/assets/pages/img/logo-big.png HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:07:48 -0300] "GET /GDist/favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:07:59 -0300] "POST /GDist/sistema/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:08:00 -0300] "GET /GDist/dashboard/index HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:08:01 -0300] "GET /GDist/ControleAcesso/AcessoNegado HTTP/1.1" 200 25004
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:08:01 -0300] "GET /GDist/assets/pages/css/error.min.css HTTP/1.1" 200 1551
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:08:01 -0300] "GET /GDist/assets/layouts/layout/css/layout.min.css HTTP/1.1" 200 80276
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:08:01 -0300] "GET /GDist/assets/global/css/components-rounded.min.css HTTP/1.1" 200 616034
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:08:01 -0300] "GET /GDist/assets/layouts/layout/css/themes/darkblue.min.css HTTP/1.1" 200 32447
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:08:01 -0300] "GET /GDist/assets/layouts/layout/css/custom.min.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:08:01 -0300] "GET /GDist/assets/layouts/layout/img/avatar3_small.jpg HTTP/1.1" 200 1723
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:08:01 -0300] "GET /GDist/assets/layouts/layout/img/logo.png HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:08:01 -0300] "GET /GDist/assets/layouts/layout/scripts/layout.min.js HTTP/1.1" 200 11575
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:08:01 -0300] "GET /GDist/assets/layouts/global/scripts/quick-sidebar.min.js HTTP/1.1" 200 2787
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:08:01 -0300] "GET /GDist/assets/layouts/layout/scripts/demo.min.js HTTP/1.1" 200 6424
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:08:01 -0300] "GET /GDist/assets/layouts/global/scripts/quick-nav.min.js HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:08:01 -0300] "GET /GDist/assets/layouts/layout/img/icon-color.png HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:08:01 -0300] "GET /GDist/assets/layouts/layout/img/icon-color-close.png HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:08:01 -0300] "GET /GDist/assets/global/plugins/font-awesome/fonts/fontawesome-webfont.woff2?v=4.4.0 HTTP/1.1" 200 64464
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:08:01 -0300] "GET /GDist/assets/global/plugins/simple-line-icons/fonts/Simple-Line-Icons.woff HTTP/1.1" 200 59324
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:08:02 -0300] "GET /GDist/ControleAcesso/favicon.ico HTTP/1.1" 404 1013
